V1	count
isar	1
iseseisev riik	1
italietsu	1
iv liit	1
ivuidas	1
j horthy	1
j kaljuvee	1
j kiimaa l	1
j mark ja a saareste	1
j siivet	1
jaarklaupae-	1
je f	1
jenissei jõgi	1
jersey osariik	1
jfclxobsonl	1
jkta	1
jmimikris	1
jnorrköoitigi	1
jurjev	1
jurmala	1
järva maakond	1
jõgeta maakond	1
jõgeva maakond	1
jõhv ja kreutzwald tn	1
k pihel	1
kaasepalitsa	1
kabi la	1
kadrina	1
kadriorg	1
kahekümnekroonine vabariik	1
kalana	1
kalifomia	1
kalifomias	1
kalifornia	1
kaliningrad	1
kampuchea	1
kamtšatka	1
kanaari saar	1
kanada ia	1
kariibi meri	1
kasahhi	1
kassari	1
kasteni	1
katõnis	1
katöni	1
kaukaasia	1
kavastu küla	1
keedu	1
kehra	1
keila	1
kell	1
kesa vabariik	1
kesk-eesti	1
kesk-euroopa	1
keskaasia	1
kiel laht ja balti meri	1
kiigipaeval	1
kiltsi	1
kiniiueeles	1
kirde-eesti viima vene	1
kirgiis ja tadžik	1
kirgiisia	1
kirikumäel	1
kirjastuste liit	1
kl liit	1
kliit	1
klooga	1
km	1
kodumaa	1
kohtla-järv ja narva	1
kohtla-järve ja sillamäe	1
kohtla-järve linn	1
kohtla-järvelt	1
kolumbia	1
kolumbia ita	1
korp-	1
kose	1
kose-uuemõis	1
krasnojarsk	1
kristiansand	1
kristus	1
kuia	1
kungla	1
kurgja	1
kuriilid	1
kutveidi	1
kuuuisi	1
kuveit	1
käina	1
kärdla ja kõrgessaar	1
kärner	1
kärstna	1
könlgsiarg	1
küpros saar	1
l liit	1
laadoga	1
ladina-ameerika	1
ladina-eesti-vene	1
laekvere	1
lael- usa	1
lahti	1
laimjala	1
laiune	1
lakewood	1
lakewoodi	1
lao	1
latirootsi	1
lbpttlob	1
leedu ja n liiöu	1
leedu s	1
leetsi	1
leila	1
leisi	1
lettland	1
li liit	1
liileste jt	1
liivimaa	1
lilleste jt	1
linlikult	1
lippmaa	1
liua	1
lles	1
lltsimta	1
lnu	1
lok	1
loksa	1
loksa l	1
loots imftüstae	1
lt-s	1
ludu	1
luhamaa	1
luunja	1
lähis-ldas	1
läli ja leedu	1
läti ja lee	1
lätsigulda	1
läänemaa	1
läänemeri saar	1
lääs mdsl toronto	1
lääs riik	1
lääs-eesti	1
lääs-ettroobas	1
lääs-euroopa	1
lääs-india	1
lääs-rootsi	1
lõuna-aafrika	1
lõuna-eesti	1
lõuna-korea	1
lõuna-rootsi	1
lõunakaare	1
lübeck	1
lürism	1
lüübek	1
maardu	1
macys	1
mainima	1
maneeshi	1
mariehamni	1
mariliina	1
maroko	1
marx	1
mavirumaa	1
mb	1
mcarthur	1
mecklenburg	1
medininkai linn	1
meiusetu	1
meri	1
mettanfjärden	1
miami	1
michigan osariik	1
midwest	1
mimka-ljuagby	1
mina-s	1
minsk	1
missejev	1
moldaavia jt	1
monsis	1
moodustama	1
moskva balti	1
moskva ja ida-euroopa	1
moskvap gorbatssida	1
mt	1
muhu saar	1
munas	1
mustjala vald	1
mülikool	1
münchen	1
n iüdu	1
n liidu	1
n liit okupatsioon balti riik	1
n liit riik	1
narva jõgi	1
narva linn	1
narva vabariik	1
narva-tallinn	1
natsi-sak-samaa	1
new	1
new york linn	1
new york osariik	1
niguliste	1
niilus	1
nludu	1
noarootsi	1
normandies	1
norr- laager	1
norrköping ja eskilstuna	1
norrmalmstorgetü	1
norrtäye	1
noukogu	1
novgorod	1
novgorod linn	1
nsvl	1
nsvl-usa	1
nõmm	1
nõukogu liidul	1
nõukogu vene	1
nõukogu venemaa	1
nõukogu- kreekamaa	1
nõuogude liit	1
oaasilinn	1
ob jõgi	1
oh karula	1
ojamaa	1
oktoohm kis-i	1
